Indicator,Category,BASE,ST 0 à 5,ST 6 à 8,ST 9 à 10,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,Je ne sais pas,No rep.,Moyenne,Question
Total,Total,5979.002,0.375,0.3249999,0.2449999,0.09539326,0.04119245999999999,0.046578879999999996,0.0470465,0.03884491,0.09703494,0.07085637,0.12299653,0.13131777,0.0810567,0.16476067,0.054163819999999994,0.00875701,6.007836,"q21v13b_i2. Etes-vous d'accord ou pas avec l'affirmation suivante : La note 0 signifiant que vous n'êtes pas du tout d'accord et la note 10 signifiant que vous êtes tout à fait d'accord.
Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas du tout d'accordTout à fait d'accord
- Voter blanc est un bon moyen de protester contre l'offre politique"
Gender,Man,2929.637,0.36586819459202624,0.3107891865101376,0.2649999,0.10112867,0.046571259999999996,0.044344539999999995,0.045,0.03683589,0.09238602,0.07243768,0.11569478,0.12265687,0.08285527999999999,0.18229980999999998,0.05130427,0.00648493,6.024947,"q21v13b_i2. Etes-vous d'accord ou pas avec l'affirmation suivante : La note 0 signifiant que vous n'êtes pas du tout d'accord et la note 10 signifiant que vous êtes tout à fait d'accord.
Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas du tout d'accordTout à fait d'accord
- Voter blanc est un bon moyen de protester contre l'offre politique"
Gender,Woman,3049.36,0.3649999,0.3389881811265314,0.22685448749901616,0.08988319,0.0349999,0.04872557,0.049395020000000005,0.04077515,0.1015014,0.06933724,0.13001187,0.13963881,0.07932894,0.14855181999999975,0.05691119,0.0109399,5.99122,"q21v13b_i2. Etes-vous d'accord ou pas avec l'affirmation suivante : La note 0 signifiant que vous n'êtes pas du tout d'accord et la note 10 signifiant que vous êtes tout à fait d'accord.
Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas du tout d'accordTout à fait d'accord
- Voter blanc est un bon moyen de protester contre l'offre politique"
Age,18-24,478.2759,0.385,0.30451962977854413,0.225,0.07727761,0.04106536,0.02904733,0.03178835,0.08626519,0.11653793999999999,0.07369067,0.12737502,0.10345374,0.07634696,0.14833453999999996,0.07499990000000001,0.01381739,5.980299,"q21v13b_i2. Etes-vous d'accord ou pas avec l'affirmation suivante : La note 0 signifiant que vous n'êtes pas du tout d'accord et la note 10 signifiant que vous êtes tout à fait d'accord.
Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas du tout d'accordTout à fait d'accord
- Voter blanc est un bon moyen de protester contre l'offre politique"
Age,25-34,836.9062,0.3249999,0.3624661879670625,0.23727951830205105,0.0621677,0.04256417,0.03321735,0.04569998,0.04190118,0.10179074,0.07119524,0.13771113,0.15157151000000002,0.085,0.15322518,0.05895582,0.015,6.289622,"q21v13b_i2. Etes-vous d'accord ou pas avec l'affirmation suivante : La note 0 signifiant que vous n'êtes pas du tout d'accord et la note 10 signifiant que vous êtes tout à fait d'accord.
Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas du tout d'accordTout à fait d'accord
- Voter blanc est un bon moyen de protester contre l'offre politique"
Age,35-49,1494.556,0.38211027221462424,0.3460776310824084,0.21339407824129705,0.10834615999999998,0.02923059,0.051509440000000004,0.04237189,0.03953806,0.11111394,0.07828914,0.12789571,0.13993014000000012,0.05835744999999999,0.1549999,0.05102472000000001,0.00739286,5.876089,"q21v13b_i2. Etes-vous d'accord ou pas avec l'affirmation suivante : La note 0 signifiant que vous n'êtes pas du tout d'accord et la note 10 signifiant que vous êtes tout à fait d'accord.
Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas du tout d'accordTout à fait d'accord
- Voter blanc est un bon moyen de protester contre l'offre politique"
Age,50-64,1554.412,0.35210516902854583,0.3096491149064727,0.278951140366904,0.1061577,0.04614487,0.03817014,0.0449999,0.03112343,0.08480061999999998,0.07280798,0.11891101,0.1179298,0.09640404000000001,0.18325437000000008,0.05192020000000001,0.00737594,6.074038,"q21v13b_i2. Etes-vous d'accord ou pas avec l'affirmation suivante : La note 0 signifiant que vous n'êtes pas du tout d'accord et la note 10 signifiant que vous êtes tout à fait d'accord.
Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas du tout d'accordTout à fait d'accord
- Voter blanc est un bon moyen de protester contre l'offre politique"
Age,65+,1614.848,0.3801043813411541,0.3049999,0.255,0.09499990000000001,0.04682308,0.06222685000000001,0.05787805,0.03000744,0.08754019,0.06108376,0.11347240999999998,0.132994,0.08713384,0.16847921999999993,0.05020612,0.00715514,5.930284,"q21v13b_i2. Etes-vous d'accord ou pas avec l'affirmation suivante : La note 0 signifiant que vous n'êtes pas du tout d'accord et la note 10 signifiant que vous êtes tout à fait d'accord.
Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas du tout d'accordTout à fait d'accord
- Voter blanc est un bon moyen de protester contre l'offre politique"
Socio-Professional Category,Total-CSP+,1734.019,0.3620497237919538,0.3389798497017622,0.2596445021652012,0.08601526,0.03950573,0.04711958,0.05105818,0.052958,0.0849999,0.09088401,0.12804767,0.12004822,0.08324101,0.17679649999999997,0.03128596,0.00803998,6.080047,"q21v13b_i2. Etes-vous d'accord ou pas avec l'affirmation suivante : La note 0 signifiant que vous n'êtes pas du tout d'accord et la note 10 signifiant que vous êtes tout à fait d'accord.
Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas du tout d'accordTout à fait d'accord
- Voter blanc est un bon moyen de protester contre l'offre politique"
Socio-Professional Category,Small Business owners,212.9949,0.430840879288659,0.26967641009244825,0.2584640759004089,0.13226495,0.02338433,0.09807883,0.07056329,0.015,0.09211817,0.06348875,0.10118327,0.10500439,0.11157976,0.14631533999999996,0.03313748,0.00788144,5.580775,"q21v13b_i2. Etes-vous d'accord ou pas avec l'affirmation suivante : La note 0 signifiant que vous n'êtes pas du tout d'accord et la note 10 signifiant que vous êtes tout à fait d'accord.
Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas du tout d'accordTout à fait d'accord
- Voter blanc est un bon moyen de protester contre l'offre politique"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.38182222288373935,0.32977173255182146,0.24826119015218776,0.08889822000000001,0.04428504999999999,0.04446656,0.06051493,0.04586936,0.09778798,0.09067932,0.12216612,0.11692619000000001,0.08558403,0.16267703,0.03403002,0.00611511,5.958042,"q21v13b_i2. Etes-vous d'accord ou pas avec l'affirmation suivante : La note 0 signifiant que vous n'êtes pas du tout d'accord et la note 10 signifiant que vous êtes tout à fait d'accord.
Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas du tout d'accordTout à fait d'accord
- Voter blanc est un bon moyen de protester contre l'offre politique"
Socio-Professional Category,Prof Intermed,896.9079,0.3373469003896609,0.365,0.2648276372635362,0.0748815,0.03993522,0.03816118,0.03838432,0.0683779,0.07760675,0.09716747999999999,0.13823136,0.12669718,0.07308957,0.19309777999999989,0.02936986,0.0049999,6.255863,"q21v13b_i2. Etes-vous d'accord ou pas avec l'affirmation suivante : La note 0 signifiant que vous n'êtes pas du tout d'accord et la note 10 signifiant que vous êtes tout à fait d'accord.
Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas du tout d'accordTout à fait d'accord
- Voter blanc est un bon moyen de protester contre l'offre politique"
Socio-Professional Category,Total-CSP-,1674.09,0.355,0.3380758501633723,0.2349999,0.08856053,0.042129230000000004,0.04189866,0.035,0.02963056,0.115,0.07187511,0.12659027,0.13961053,0.07356964,0.16105701,0.06369221,0.01138625,6.091076,"q21v13b_i2. Etes-vous d'accord ou pas avec l'affirmation suivante : La note 0 signifiant que vous n'êtes pas du tout d'accord et la note 10 signifiant que vous êtes tout à fait d'accord.
Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas du tout d'accordTout à fait d'accord
- Voter blanc est un bon moyen de protester contre l'offre politique"
Socio-Professional Category,Salaried,956.6466,0.355,0.3149999,0.27219111007136804,0.08866072,0.03633304,0.03717364,0.03989723,0.0333761,0.11742936000000001,0.06353244,0.12986227,0.12499990000000001,0.08216319000000001,0.19030154000000005,0.04866025000000001,0.00761032,6.233978,"q21v13b_i2. Etes-vous d'accord ou pas avec l'affirmation suivante : La note 0 signifiant que vous n'êtes pas du tout d'accord et la note 10 signifiant que vous êtes tout à fait d'accord.
Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas du tout d'accordTout à fait d'accord
- Voter blanc est un bon moyen de protester contre l'offre politique"
Socio-Professional Category,Blue collar,717.4432,0.355,0.3639553625987395,0.1849999,0.08842697,0.04985794,0.04819905000000001,0.02822212,0.025,0.11100794000000001,0.08299934,0.12222752999999999,0.15836446999999992,0.062110979999999996,0.12342652,0.08373602000000001,0.01642112,5.891235,"q21v13b_i2. Etes-vous d'accord ou pas avec l'affirmation suivante : La note 0 signifiant que vous n'êtes pas du tout d'accord et la note 10 signifiant que vous êtes tout à fait d'accord.
Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas du tout d'accordTout à fait d'accord
- Voter blanc est un bon moyen de protester contre l'offre politique"
Political similarity,Far left,187.3446,0.185,0.3849999,0.3222962391229851,0.03980889,0.01945394,0.030154220000000002,0.02510828,0.02840121,0.04150416,0.0896234,0.18459027,0.11261312000000001,0.11851129,0.203785,0.08834399,0.01810269,7.063303,"q21v13b_i2. Etes-vous d'accord ou pas avec l'affirmation suivante : La note 0 signifiant que vous n'êtes pas du tout d'accord et la note 10 signifiant que vous êtes tout à fait d'accord.
Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas du tout d'accordTout à fait d'accord
- Voter blanc est un bon moyen de protester contre l'offre politique"
Political similarity,Radical left,828.7407,0.33690356947595307,0.3448076099074174,0.2727734983934058,0.0709352,0.03921725,0.04154698,0.03647316,0.05544784,0.09328309999999998,0.07382275,0.1385706,0.13241403,0.09499990000000001,0.1777729700000001,0.03776025,0.00775597,6.312142,"q21v13b_i2. Etes-vous d'accord ou pas avec l'affirmation suivante : La note 0 signifiant que vous n'êtes pas du tout d'accord et la note 10 signifiant que vous êtes tout à fait d'accord.
Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas du tout d'accordTout à fait d'accord
- Voter blanc est un bon moyen de protester contre l'offre politique"
Political similarity,Left,1430.296,0.347239592364098,0.3562446514567614,0.25491436737570405,0.07111367,0.04509734,0.0449999,0.048941,0.051879989999999994,0.08519536999999999,0.07765057,0.14233725,0.13625669,0.08278203000000002,0.1721439400000001,0.03277726,0.00882499,6.191705,"q21v13b_i2. Etes-vous d'accord ou pas avec l'affirmation suivante : La note 0 signifiant que vous n'êtes pas du tout d'accord et la note 10 signifiant que vous êtes tout à fait d'accord.
Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas du tout d'accordTout à fait d'accord
- Voter blanc est un bon moyen de protester contre l'offre politique"
Political similarity,PC/LFI,641.3963,0.38143905725680055,0.335,0.2583083188973806,0.08002683,0.045,0.04487466,0.0397927,0.06334784,0.10840711000000001,0.06920754,0.12512872,0.13819763,0.08822882,0.17006903999999998,0.02298531,0.0047338,6.110502,"q21v13b_i2. Etes-vous d'accord ou pas avec l'affirmation suivante : La note 0 signifiant que vous n'êtes pas du tout d'accord et la note 10 signifiant que vous êtes tout à fait d'accord.
Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas du tout d'accordTout à fait d'accord
- Voter blanc est un bon moyen de protester contre l'offre politique"
Political similarity,PS,449.3176,0.3090539965494341,0.36705194721951684,0.2710530368719142,0.05663495,0.0443809,0.05454641,0.03796744,0.04698378,0.06854052,0.0776828,0.14218664,0.14718257,0.09828625,0.17276668,0.04478416,0.00805722,6.386595,"q21v13b_i2. Etes-vous d'accord ou pas avec l'affirmation suivante : La note 0 signifiant que vous n'êtes pas du tout d'accord et la note 10 signifiant que vous êtes tout à fait d'accord.
Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas du tout d'accordTout à fait d'accord
- Voter blanc est un bon moyen de protester contre l'offre politique"
Political similarity,EELV,339.583,0.3331689159940279,0.3849999,0.2271498573250133,0.07343586,0.04624819000000001,0.03265702,0.08073958000000002,0.03669807,0.06339031,0.09355457,0.1749999,0.11813379999999998,0.05197975,0.17520966999999982,0.0353851,0.01756818,6.09127,"q21v13b_i2. Etes-vous d'accord ou pas avec l'affirmation suivante : La note 0 signifiant que vous n'êtes pas du tout d'accord et la note 10 signifiant que vous êtes tout à fait d'accord.
Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas du tout d'accordTout à fait d'accord
- Voter blanc est un bon moyen de protester contre l'offre politique"
